Freq_kHz,TS,f_bs
1.00,-59.949003740316584,(0.0010058795387210535+4.229423749145092e-06j)
2.00,-39.99924229566133,(0.009965836770600003+0.0008363885287044953j)
3.00,-36.530912060496064,(-0.014645920122178331+0.0027895028374749792j)
4.00,-41.924962335454296,(-0.007939788310893734+0.0010747746118519748j)
5.00,-43.621110750960355,(-0.00652780987347476+0.0009097302163332797j)
6.00,-44.42571333218309,(-0.005938817626579192+0.0009076991175828739j)
7.00,-44.8814249303829,(-0.005620312132115626+0.000954021401887895j)
8.00,-45.166609762200316,(-0.005421292547722386+0.001020874493175083j)
9.00,-45.34333310944663,(-0.005292751391191595+0.0010981224466052816j)
10.00,-45.67193606192148,(-0.005070081039168773+0.0011764843289524445j)
11.00,-45.681510956502294,(-0.005042730037776365+0.001265326711137805j)
12.00,-45.77049686297752,(-0.004965421490491801+0.0013515032051357814j)
13.00,-45.86146990538819,(-0.004885894181341226+0.0014356367723908584j)
14.00,-45.966594059984644,(-0.004798261016763331+0.0015131143033382634j)
15.00,-46.13481830187787,(-0.004678685081426474+0.0015687519485768921j)
16.00,-46.79931525583587,(-0.004325534553643019+0.0014785149808072744j)
17.00,-44.99881299812641,(-0.005178212819239193+0.002194887886192461j)
18.00,-45.627110743369066,(-0.004808880447935615+0.0020604754886260086j)
19.00,-45.77522020543676,(-0.00468974604600381+0.0021117451669786557j)
20.00,-45.851163516331404,(-0.004605536551296259+0.0021871587880081386j)
21.00,-45.9002898475104,(-0.00453318186066501+0.002269912911244596j)
22.00,-45.930773523405136,(-0.004469064051261337+0.0023558296441138393j)
23.00,-45.84202806774823,(-0.00447668720050188+0.0024512527078871704j)
24.00,-46.0567845088798,(-0.004295077854566192+0.0025189037855107487j)
25.00,-46.0673009350039,(-0.004236634233071789+0.0026045225929597305j)
26.00,-46.092888139314354,(-0.004168047911272808+0.0026860186497093025j)
27.00,-46.12678583793898,(-0.004094106320100046+0.0027630508954262245j)
28.00,-46.17930015387969,(-0.004011012300652241+0.0028310277954376396j)
29.00,-46.319242827390276,(-0.0038911196391804613+0.0028631865480089522j)
30.00,-45.113486730894095,(-0.004327160619925472+0.0034760346730237346j)
31.00,-45.971542223623146,(-0.003902807066837006+0.0031705041815336906j)
32.00,-46.057984899842765,(-0.0038005852885199514+0.003215784476131106j)
